feature,importance
numeric__prefix_path_train_long_case_rate_smoothed,0.2378265187777927
numeric__resource_train_long_case_rate,0.21106123954138062
numeric__last_activity_train_long_case_rate,0.1707004176177531
numeric__last_activity_train_median_duration,0.07239353459572684
numeric__activity_set_train_median_duration,0.058795979851780915
numeric__resource_train_median_duration,0.048546224082082895
categorical__activity_3_ER Sepsis Triage,0.0134653843131388
numeric__gap_1_2_hours,0.011963289353003129
numeric__std_gap_hours,0.011929557278910192
numeric__gap_2_3_hours,0.011607913048308936
numeric__max_gap_hours,0.011227584307698196
numeric__elapsed_hours,0.01085836955246668
categorical__prefix_path_ER Registration → ER Triage → ER Sepsis Triage,0.010535563147854362
numeric__min_gap_hours,0.00989509908314487
numeric__mean_gap_hours,0.008644400141239326
categorical__last_resource_A,0.007248303150942852
categorical__activity_set_ER Registration | ER Sepsis Triage | ER Triage,0.006521819949878259
numeric__start_hour,0.006413075590035644
categorical__last_activity_ER Sepsis Triage,0.006274099027231803
categorical__last_resource_B,0.005669914833540463
